Name	X	Y
background: AMR	1.383	0.673
background: AFR	-1.595	-0.591
background: AFR	-0.862	0.445
background: AFR	0.129	0.402
background: AFR	-0.564	0.043
background: AMR	0.343	-1.271
background: AMR	1.549	0.375
background: AMR	2.398	0.069
background: AMR	1.452	0.696
background: AMR	0.269	-0.398
background: AMR	0.989	0.266
background: AMR	0.584	-0.422
background: AMR	0.819	0.35
background: AFR	-1.377	-0.189
background: AFR	-1.859	1.145
background: AFR	-1.541	0.41
background: AMR	1.522	-0.865
background: AFR	-1.444	-0.728
background: AFR	-1.678	-1.176
background: AFR	-1.588	1.029
background: AFR	-1.775	-1.333
background: AFR	-1.253	0.278
background: AFR	-1.335	-0.024
background: AFR	-0.514	0.188
background: AFR	-0.902	0.751
background: AFR	-1.815	0.094
background: AFR	-0.488	0.216
background: AFR	-1.221	0.443
background: AFR	-1.269	1.411
background: AFR	-1.504	-0.926
background: AMR	1.568	-0.353
background: AMR	0.937	0.473
background: EAS	0.936	-1.333
background: EAS	0.674	-2.04
background: EAS	1.397	-0.965
background: EAS	0.261	-1.119
background: EAS	0.7	-1.792
background: EAS	0.742	-0.791
background: EAS	0.771	-0.698
background: EAS	0.28	0.095
background: EAS	0.55	-1.506
background: EAS	1.121	-1.969
background: EAS	1.58	-0.714
background: EAS	0.533	-0.211
background: EAS	0.79	-0.103
background: EAS	1.46	-1.583
background: EAS	0.773	-2.494
background: EAS	1.419	-2.275
background: EAS	0.297	-2.142
background: EAS	-0.126	-0.627
background: EAS	0.894	-1.095
background: EAS	1.204	-1.763
background: EAS	1.148	-1.989
background: EAS	0.619	-1.436
background: EAS	0.526	-0.202
background: EAS	0.209	-1.765
background: EAS	0.682	-0.492
background: EAS	1.454	-2.283
background: EAS	0.741	-1.027
background: EAS	-0.432	-0.742
background: EAS	0.884	-1.468
background: EAS	0.432	-1.785
background: EAS	0.87	-0.548
background: EAS	1.248	-1.942
background: EAS	0.676	-1.85
background: EAS	0.916	-1.012
background: EAS	0.971	-0.966
background: AFR	-1.429	-0.822
background: AFR	-1.396	0.13
background: AMR	0.48	1.221
background: AFR	-1.215	0.448
background: AFR	-1.415	-0.685
background: AFR	-0.644	-1.2
background: AFR	-1.441	0.333
background: AFR	-1.707	-0.32
background: AFR	-1.13	1.02
background: AFR	-1.544	0.49
background: AFR	-1.263	0.51
background: AFR	-0.218	-0.611
background: AFR	-1.62	-1.323
background: AFR	-1.106	0.331
background: AFR	-1.794	-0.408
background: AFR	-1.142	-0.631
background: AFR	0.08	-0.898
background: AFR	-0.958	-0.584
background: AFR	-0.786	0.614
background: AFR	-1.853	-0.449
background: AFR	-1.337	-0.6
